timestamp,cpu_percent,mem_pss_kb
2026-02-06 17:45:29,6.60,264680
2026-02-06 17:45:31,0.00,265428
2026-02-06 17:45:32,0.00,265428
2026-02-06 17:45:34,3.30,265428
2026-02-06 17:45:36,6.60,265680
2026-02-06 17:45:38,66.60,267472
2026-02-06 17:45:39,91.60,270216
2026-02-06 17:45:42,96.80,272220
2026-02-06 17:45:44,79.40,274356
2026-02-06 17:45:46,78.30,275704
2026-02-06 17:45:48,113.00,277176
2026-02-06 17:45:50,107.00,260908
2026-02-06 17:45:52,91.60,248872
2026-02-06 17:45:54,60.80,247688
2026-02-06 17:45:57,94.70,249872
2026-02-06 17:45:59,100.00,251500
2026-02-06 17:46:01,83.30,253216
2026-02-06 17:46:03,93.70,254820
2026-02-06 17:46:05,61.70,255708
2026-02-06 17:46:09,77.70,259244
2026-02-06 17:46:11,84.20,261228
2026-02-06 17:46:13,13.10,262796
2026-02-06 17:46:15,3.30,263728
2026-02-06 17:46:20,94.40,269372
2026-02-06 17:46:22,58.50,270680
2026-02-06 17:46:24,58.30,303996
2026-02-06 17:46:26,106.00,287104
2026-02-06 17:46:28,90.00,290260
2026-02-06 17:46:29,66.60,291860
2026-02-06 17:46:31,77.40,292440
2026-02-06 17:46:33,71.80,295400
2026-02-06 17:46:37,73.30,296512
2026-02-06 17:46:41,73.30,299036
2026-02-06 17:46:42,61.70,301816
2026-02-06 17:46:44,76.60,303492
2026-02-06 17:46:46,76.60,304828
2026-02-06 17:46:48,75.00,305500
2026-02-06 17:46:51,82.80,312424
2026-02-06 17:46:55,81.80,296496
2026-02-06 17:46:57,86.60,298836
2026-02-06 17:47:02,229.00,333424
2026-02-06 17:47:04,100.00,340928
2026-02-06 17:47:06,73.30,340740
2026-02-06 17:47:08,56.60,319860
2026-02-06 17:47:10,47.00,320712
2026-02-06 17:47:12,65.60,321388
2026-02-06 17:47:14,53.10,322348
2026-02-06 17:47:16,73.30,324936
2026-02-06 17:47:17,54.80,328696
2026-02-06 17:47:21,64.50,330324
